Tarih,Simdi,Acilis,Yuksek,Dusuk,Hac.,Fark %
28.03.2010,58059.86,57069.41,58383.65,56244.68,3.03,2.56
04.04.2010,59185.30,58499.65,59592.87,57752.14,2.85,1.94
11.04.2010,58223.53,59670.23,59771.82,57759.01,3.83,-1.63
18.04.2010,58338.36,57291.30,59482.67,56770.58,2.72,0.20
25.04.2010,58959.10,59425.90,59526.07,56867.01,3.10,1.06
02.05.2010,52686.97,58794.35,58996.85,52570.52,3.34,-10.64
09.05.2010,55747.88,54956.24,58708.83,54956.24,3.35,5.81
16.05.2010,54111.60,54860.74,57061.98,53365.20,2.67,-2.94
23.05.2010,55233.68,54431.22,55467.09,51757.20,3.39,2.07
30.05.2010,54612.93,54237.76,56390.97,53287.09,3.11,-1.12
06.06.2010,55131.63,53376.49,55416.13,53205.91,2.26,0.95
13.06.2010,57034.47,55667.58,57641.81,55160.23,2.14,3.45
20.06.2010,55864.24,57780.43,57789.40,55344.33,1.57,-2.05
27.06.2010,55636.45,56058.28,56676.51,53911.38,1.57,-0.41
04.07.2010,57150.90,55714.34,57751.01,55488.43,1.66,2.72
